,vol1,close_1,vol2,close_2,vol3,close_3,vol4,close_4,vol5,close_5,vol6,close_6,vol7,close_7,vol8,close_8,vol9,close_9,vol10,close_10,avg5_1,avg5_2,avg5_3,avg5_4,avg5_5,avg5_6,avg5_7,avg5_8,avg5_9,avg5_10,avg10_1,avg10_2,avg10_3,avg10_4,avg10_5,avg10_6,avg10_7,avg10_8,avg10_9,avg10_10,avg15_1,avg15_2,avg15_3,avg15_4,avg15_5,avg15_6,avg15_7,avg15_8,avg15_9,avg15_10,avg25_1,avg25_2,avg25_3,avg25_4,avg25_5,avg25_6,avg25_7,avg25_8,avg25_9,avg25_10,avg50_1,avg50_2,avg50_3,avg50_4,avg50_5,avg50_6,avg50_7,avg50_8,avg50_9,avg50_10,max5_1,max5_2,max5_3,max5_4,max5_5,max5_6,max5_7,max5_8,max5_9,max5_10,max10_1,max10_2,max10_3,max10_4,max10_5,max10_6,max10_7,max10_8,max10_9,max10_10,max15_1,max15_2,max15_3,max15_4,max15_5,max15_6,max15_7,max15_8,max15_9,max15_10,max25_1,max25_2,max25_3,max25_4,max25_5,max25_6,max25_7,max25_8,max25_9,max25_10,max50_1,max50_2,max50_3,max50_4,max50_5,max50_6,max50_7,max50_8,max50_9,max50_10,min50_1,min50_2,min50_3,min50_4,min50_5,min50_6,min50_7,min50_8,min50_9,min50_10,min5_1,min5_2,min5_3,min5_4,min5_5,min5_6,min5_7,min5_8,min5_9,min5_10,min10_1,min10_2,min10_3,min10_4,min10_5,min10_6,min10_7,min10_8,min10_9,min10_10,min15_1,min15_2,min15_3,min15_4,min15_5,min15_6,min15_7,min15_8,min15_9,min15_10,min25_1,min25_2,min25_3,min25_4,min25_5,min25_6,min25_7,min25_8,min25_9,min25_10
0,4615000,112.93,10779800,333.34,12932000,162.0,3348400,290.75,9124400,967.65,4687200,406.02,26200,217.67,31904400,190.11,1486100,232.33,2406100,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,232.33,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81
1,13630100,114.73,8751600,323.51,6461300,164.0,3231700,289.75,6477400,969.43,6981000,407.25,6400,215.38,12396100,188.1,844400,239.14,8110500,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,239.14,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05
2,3197500,118.56,15594300,311.71,19371700,166.75,7053200,266.25,8223700,979.64,8573400,412.0,14900,218.81,23122600,187.87,917300,231.13,6586000,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,231.13,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75
3,5110400,118.33,13379500,311.38,8292100,166.0,13946000,268.5,13556800,1001.85,9593100,416.75,6800,215.95,16656400,186.08,1953900,230.48,3047800,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,230.48,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18
4,3989600,118.56,9930700,298.27,9164300,168.75,9220200,273.5,10576100,985.42,12612600,439.0,4700,215.95,20974500,184.74,1025300,227.13,3073300,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,227.13,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79
5,7362700,120.79,22661500,337.61,0,168.75,20860300,321.0,11407100,981.42,3477000,422.25,4300,224.54,21386800,183.62,1884900,227.78,2028800,2341.7,116.62200000000001,315.642,165.5,277.75,980.798,416.204,232.042,187.38,232.042,2339.5160000000005,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7,120.79,337.61,168.75,321.0,981.42,422.25,224.54,183.62,227.78,2341.7
6,17806000,121.47,20688300,337.61,6581500,168.0,19487000,316.5,8122800,976.98,2041900,422.25,4700,227.4,12108400,180.93,1371600,231.67,4472200,2369.45,118.194,316.496,166.85,283.8,983.552,419.45,231.132,186.082,231.132,2333.294000000001,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45,121.47,337.61,168.0,316.5,976.98,422.25,227.4,180.93,231.67,2369.45
7,11125600,126.2,9559200,373.66,7627500,171.0,9234100,330.25,5453300,991.19,2320400,420.5,1200,233.7,26967800,182.05,1007200,232.11,3268800,2434.19,119.542,319.316,167.65,289.15,985.062,422.45,229.638,184.648,229.638,2342.374,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19,126.2,373.66,171.0,330.25,991.19,420.5,233.7,182.05,232.11,2434.19
8,17770700,127.08,22188000,365.47,12993200,172.0,21928300,350.0,6838600,976.98,6498800,419.5,3400,237.71,29333000,179.59,3101800,234.05,5432500,2380.38,121.07,331.70599999999996,168.5,301.95,987.372,424.15,229.834,183.484,229.834,2367.262,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38,127.08,365.47,172.0,350.0,976.98,419.5,237.71,179.59,234.05,2380.38
9,8667400,126.63,17959700,373.66,11719100,172.5,13216300,337.0,4238400,984.53,14860700,418.0,1800,239.43,18473100,185.86,1169600,236.87,4860900,2319.0,122.82,342.524,169.7,318.25,982.398,424.7,230.548,182.186,230.548,2375.5019999999995,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0,126.63,373.66,172.5,337.0,984.53,418.0,239.43,185.86,236.87,2319.0
