,vol1,close1,vol2,close2,vol3,close3,vol4,close4,vol5,close5,vol6,close6,vol7,close7,vol8,close8,vol9,close9,vol10,close10,moving_average5_1,moving_average5_2,moving_average5_3,moving_average5_4,moving_average5_5,moving_average5_6,moving_average5_7,moving_average5_8,moving_average5_9,moving_average5_10
0,4615000,112.93,10779800,333.34,12932000,162.0,3348400,290.75,9124400,967.65,4687200,406.02,26200,217.67,31904400,190.11,1486100,232.33,2406100,2372.81,112.93,333.34,162.0,290.75,967.65,406.02,217.67,190.11,232.33,2372.81
1,13630100,114.73,8751600,323.51,6461300,164.0,3231700,289.75,6477400,969.43,6981000,407.25,6400,215.38,12396100,188.1,844400,239.14,8110500,2324.05,114.73,323.51,164.0,289.75,969.43,407.25,215.38,188.1,239.14,2324.05
2,3197500,118.56,15594300,311.71,19371700,166.75,7053200,266.25,8223700,979.64,8573400,412.0,14900,218.81,23122600,187.87,917300,231.13,6586000,2309.75,118.56,311.71,166.75,266.25,979.64,412.0,218.81,187.87,231.13,2309.75
3,5110400,118.33,13379500,311.38,8292100,166.0,13946000,268.5,13556800,1001.85,9593100,416.75,6800,215.95,16656400,186.08,1953900,230.48,3047800,2339.18,118.33,311.38,166.0,268.5,1001.85,416.75,215.95,186.08,230.48,2339.18
4,3989600,118.56,9930700,298.27,9164300,168.75,9220200,273.5,10576100,985.42,12612600,439.0,4700,215.95,20974500,184.74,1025300,227.13,3073300,2351.79,118.56,298.27,168.75,273.5,985.42,439.0,215.95,184.74,227.13,2351.79
5,7362700,120.79,22661500,337.61,0,168.75,20860300,321.0,11407100,981.42,3477000,422.25,4300,224.54,21386800,183.62,1884900,227.78,2028800,2341.7,116.622,315.642,165.5,277.75,980.798,416.204,216.752,187.38000000000002,232.042,2339.5160000000005
6,17806000,121.47,20688300,337.61,6581500,168.0,19487000,316.5,8122800,976.98,2041900,422.25,4700,227.4,12108400,180.93,1371600,231.67,4472200,2369.45,118.194,316.496,166.85,283.8,983.552,419.45,218.12599999999998,186.08200000000002,231.132,2333.2940000000003
7,11125600,126.2,9559200,373.66,7627500,171.0,9234100,330.25,5453300,991.19,2320400,420.5,1200,233.7,26967800,182.05,1007200,232.11,3268800,2434.19,119.542,319.316,167.65,289.15,985.0619999999999,422.45,220.53000000000003,184.648,229.638,2342.374
8,17770700,127.08,22188000,365.47,12993200,172.0,21928300,350.0,6838600,976.98,6498800,419.5,3400,237.71,29333000,179.59,3101800,234.05,5432500,2380.38,121.07000000000001,331.706,168.5,301.95,987.3720000000001,424.15,223.50799999999998,183.484,229.834,2367.2619999999997
9,8667400,126.63,17959700,373.66,11719100,172.5,13216300,337.0,4238400,984.53,14860700,418.0,1800,239.43,18473100,185.86,1169600,236.87,4860900,2319.0,122.82000000000001,342.524,169.7,318.25,982.3979999999999,424.7,227.85999999999999,182.18599999999998,230.548,2375.5019999999995
10,9602000,134.49,12932600,404.8,33463000,175.0,14138300,336.0,19807300,1008.07,15637400,400.0,10100,240.43,21842600,191.68,3254100,237.31,8263400,2260.14,124.434,357.60200000000003,170.45,330.95,982.22,420.5,232.55599999999998,182.41000000000003,232.496,2368.9440000000004
11,7203400,135.16,12624100,389.39,23341500,178.0,16209400,324.5,4600600,1002.74,13199700,400.0,11800,231.99,18631400,191.23,1996800,240.44,5500000,2253.42,127.174,371.04,171.7,333.95,987.55,416.05,235.734,184.02200000000002,234.402,2352.632
12,3993400,131.58,6558700,371.69,17192900,171.25,13826200,327.0,5573500,986.75,6937800,400.0,16900,231.99,19845600,191.23,1943600,243.8,3751200,2274.44,129.91199999999998,381.396,173.7,335.55,992.702,411.6,236.652,186.08200000000002,236.156,2329.426
13,7715400,132.03,4672800,385.13,8605400,169.25,3014300,323.0,4418500,988.97,5535100,398.0,10500,234.85,11425200,191.46,2628100,245.53,3959100,2295.46,130.988,381.00200000000007,173.75,334.9,991.814,407.5,236.31,187.91800000000003,238.494,2297.476
14,3035800,130.9,4325300,390.7,7207400,172.0,2624100,317.5,8012400,965.43,8496100,411.0,15900,237.14,9211900,184.96,689400,243.37,853600,2297.14,131.978,384.934,173.2,329.5,994.2120000000001,403.2,235.738,190.292,240.79000000000002,2280.4919999999997
15,5028600,132.93,11277400,387.75,13420800,170.0,13581800,299.5,9825900,940.57,4573300,400.0,3600,233.13,35415100,184.52,2167100,237.73,3084000,2295.46,132.832,388.34200000000004,173.1,325.6,990.392,401.8,235.28000000000003,190.11200000000002,242.08999999999997,2276.12
16,3285900,136.51,14883200,386.77,19687700,169.0,16101200,310.0,5201700,941.01,7111700,400.0,22600,237.71,27192500,187.2,2273500,235.57,2840300,2324.89,132.51999999999998,384.932,172.1,318.3,976.892,401.8,233.82,188.68,242.17399999999998,2283.184
17,16223300,139.21,11220900,397.91,30126900,175.0,11065200,283.5,6547300,945.89,10100900,409.5,6100,242.29,25537000,188.1,2282300,230.37,4283600,2320.68,132.79000000000002,384.408,170.3,315.4,964.546,401.8,234.964,187.87399999999997,241.2,2297.478
18,6760000,140.79,7613800,423.48,16914200,172.25,9572100,276.25,10852900,938.35,6765400,403.0,20100,242.29,21511600,184.07,1492500,223.01,1778400,2338.34,134.316,389.652,171.05,306.7,956.3740000000001,403.7,237.02400000000003,187.24800000000002,238.51400000000004,2306.726
19,4165600,138.76,4888700,401.52,5481700,171.5,4624100,302.0,2985900,943.23,5051600,420.0,73600,243.44,14381300,184.07,2192900,229.51,4112300,2451.85,136.068,397.322,171.65,297.35,946.25,404.7,238.512,185.77000000000004,234.01000000000005,2315.302
20,2874600,133.38,6187000,401.52,8499400,167.0,4753600,284.25,4332000,930.8,5581200,420.0,5500,242.29,13769800,182.05,2188400,229.95,4237900,2468.67,137.64,399.486,171.55,294.25,941.8099999999998,406.5,239.772,185.592,231.238,2346.244
21,12044600,131.58,6632100,400.53,12260700,164.0,3882900,289.0,2915500,922.8,8675100,424.25,82800,247.45,49439400,182.95,4523400,225.18,3739700,2441.76,137.73,402.24,170.95,291.2,939.856,410.5,241.60399999999998,185.09799999999996,229.68200000000002,2380.886
22,5166500,129.1,7161800,389.06,7466700,168.0,7404100,284.0,4885700,905.93,11469800,405.75,4600,247.45,21253400,185.41,3860300,220.85,2964200,2455.22,136.744,404.992,169.95,287.0,936.2140000000002,415.35,243.552,184.248,227.60399999999998,2404.26
23,4013600,129.33,3454300,395.29,3646700,167.5,10504400,263.5,5397700,903.26,2884600,417.5,11000,240.58,14546400,186.53,2357900,219.98,2214200,2457.74,134.722,403.222,168.55,287.1,928.2220000000001,414.6,244.584,183.71,225.7,2431.168
24,1596500,130.9,9443900,386.77,26288800,160.0,7730300,269.0,3742900,914.81,6120800,427.0,1518800,244.59,14749900,184.52,1793700,223.01,2239400,2435.88,132.43,397.58399999999995,167.6,284.55,921.204,417.5,244.24200000000002,184.20199999999997,225.094,2455.048
25,5567400,130.68,6514500,377.26,18000200,158.0,12919400,270.5,3328600,937.9,11413000,427.0,13900,247.45,21694900,180.93,2355400,221.5,4089500,2488.85,130.858,394.63399999999996,165.3,277.95,915.5200000000001,418.9,244.47200000000004,184.29199999999997,223.794,2451.8540000000003
26,1598900,129.78,11831300,384.8,12589000,159.0,11499700,261.0,5159000,961.88,5908000,430.0,8800,253.18,29864600,178.69,4322000,216.95,5452700,2560.32,130.31799999999998,389.782,163.5,275.2,916.9399999999999,420.3,245.504,184.06799999999998,222.10399999999998,2455.89
27,1571600,129.33,9250800,366.45,10730200,154.5,7181300,269.0,7303800,982.31,6908000,433.0,446900,250.01,25223500,184.07,1718700,216.52,5178100,2593.95,129.958,386.63599999999997,162.5,269.6,924.756,421.45,246.65,183.21600000000004,220.458,2479.602
28,6843700,130.45,5664000,342.85,22805400,162.75,10351400,264.25,6697600,966.32,3648500,418.0,51600,250.01,34087100,180.93,3329100,227.13,3499100,2606.56,130.00400000000002,382.114,159.8,266.6,940.0319999999999,426.9,247.16199999999998,182.948,219.592,2507.3479999999995
29,4691100,139.21,4365900,366.77,21273300,166.0,9749700,280.0,4297300,959.22,2985400,412.0,6400,245.36,18086200,185.41,2444800,218.04,4072000,2593.95,130.228,371.62600000000003,158.85,266.75,952.644,427.0,249.048,181.82800000000003,221.02200000000002,2537.112
30,6961200,136.51,15849600,381.85,18216500,163.0,16511700,274.0,10402800,911.26,5404500,421.25,6800,245.65,14576400,187.87,3168700,218.68,5446200,2623.38,131.89000000000001,367.62600000000003,160.05,268.95,961.5260000000001,424.0,249.202,182.00600000000003,220.02800000000002,2568.726
31,868500,135.16,9656200,380.54,11311400,160.5,11243300,267.0,5547100,926.35,22128900,416.75,0,245.65,19775300,191.68,3288100,215.22,5083800,2629.27,133.05599999999998,368.544,161.05,269.65,956.1980000000001,422.85,248.842,183.394,219.464,2595.632
32,3525000,133.38,5016100,390.05,10038400,161.0,3656600,266.0,3433100,923.69,10059200,425.0,0,240.71,10227000,190.11,3567300,212.19,2208800,2642.72,134.132,367.692,161.35,270.85,949.0920000000002,420.2,247.336,185.99200000000002,219.118,2609.422
33,7923900,137.41,15953600,390.05,9635400,157.0,12170000,282.5,10133000,937.01,5418300,425.0,0,234.19,20503900,187.2,2846500,210.45,3486400,2652.81,134.94199999999998,372.412,162.65,270.25,937.368,418.6,245.47599999999997,187.20000000000002,218.252,2619.176
